timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,etiqueta
1759632530.202548,3025109,948737,-4978963,-4273717,-1804279,-3549822,-4938749,8388607,contraccion
1759632530.2026556,3018749,943653,-4987374,-4280952,-1810513,-3552965,-4945906,8388607,contraccion
1759632530.2027633,3009714,935230,-4999440,-4292018,-1820608,-3560030,-4956908,8388607,contraccion
1759632530.2028718,2999147,924449,-5014175,-4305991,-1833582,-3570067,-4970918,8388607,contraccion
1759632530.2029805,2992208,918464,-5023642,-4314346,-1840812,-3574324,-4979181,8388607,contraccion
1759632530.203089,2988213,916443,-5028809,-4318057,-1843324,-3573864,-4982756,8388607,contraccion
1759632530.2031972,2981972,911501,-5037170,-4325270,-1849379,-3576986,-4989880,8388607,contraccion
1759632530.203305,2973065,903184,-5049222,-4336336,-1859362,-3584067,-5000891,8388607,contraccion
1759632530.2621734,2962485,892497,-5063997,-4350301,-1872342,-3594142,-5014961,8388607,contraccion
1759632530.262293,2955370,886486,-5073617,-4358698,-1879568,-3598426,-5023277,8388607,contraccion
1759632530.2624216,2951228,884478,-5078842,-4362526,-1882118,-3598006,-5026822,8388607,contraccion
1759632530.262531,2945119,879639,-5087245,-4369804,-1888174,-3601172,-5033911,8388607,contraccion
1759632530.2626405,2936263,871454,-5099339,-4380912,-1898194,-3608251,-5044957,8388607,contraccion
1759632530.2627485,2925798,860882,-5114012,-4394894,-1911138,-3618256,-5058924,8388607,contraccion
1759632530.2628567,2918832,854964,-5123394,-4403275,-1918304,-3622492,-5067119,8388607,contraccion
1759632530.262969,2914680,852784,-5128496,-4407109,-1920881,-3622129,-5070614,8388607,contraccion
1759632530.263078,2908432,847739,-5136924,-4414391,-1927016,-3625233,-5077705,8388607,contraccion
1759632530.2631872,2899493,839342,-5149167,-4425596,-1937095,-3632324,-5088811,8388607,contraccion
1759632530.2632954,2888884,828643,-5164008,-4439646,-1950126,-3642436,-5102906,8388607,contraccion
1759632530.263404,2881824,822768,-5173494,-4448011,-1957334,-3646689,-5111225,8388607,contraccion
1759632530.263512,2877661,820826,-5178700,-4451819,-1959870,-3646257,-5114852,8388607,contraccion
1759632530.26362,2871494,815934,-5187031,-4458989,-1965945,-3649391,-5121982,8388607,contraccion
1759632530.263728,2862679,807542,-5199112,-4470087,-1976063,-3656486,-5133054,8388607,contraccion
1759632530.3223915,2852120,796830,-5213975,-4484140,-1989053,-3666573,-5147167,8388607,contraccion
1759632530.322502,2845174,791021,-5223464,-4492466,-1996166,-3670803,-5155415,8388607,contraccion
1759632530.3226109,2840999,788976,-5228750,-4496316,-1998771,-3670495,-5159040,8388607,contraccion
1759632530.3227198,2834724,783991,-5237289,-4503615,-2004894,-3673797,-5166204,8388607,contraccion
